Produto,Lista,Embalagem,Descontinuado,Unidade,Lead,Período,Segurança,Preço
GO TOAST RICOTA TOMATE SECO MP,,,,,,,,
KIT FRAPPE CARNAVAL,,,,,,,,
PASTEL CARNE PICANTE,,,,,,,,
XAROPE UVA,,,,,,,,
TROUXINHA DE CARNE SECA MP,,,,,,,,
BOMBOM OURO BRANCO MP,,,,,,,,
Filme de PVC,,,,,,,,
INSETICIDA,,,,,,,,
DETERGENTE,,,,,,,,
DONUT RING DOCE DE LEITE,,,,,,,,
ESPONJA,,,,,,,,
ESPRESSO GO - P,,,,,,,,
MUFFIN IFOOD,,,,,,,,
Saco de lixo,,,,,,,,
TESTE,,,,,,,,
TOALHA INTERFOLHAS,,,,,,,,
COOKIE NINHO MP,,,,,,,,
COOKIE VEGAN MP,,,,,,,,
AÇÚCAR CRISTAL VERDE,,,,,,,,
BAGUETTE CARNE E CHEDDAR,,,,,,,,
FOLHADO DE CAMARÃO,,,,,,,,
GO COPA,,,,,,,,
GO TOAST RICOTA TOMATE SECO MP,,,,,,,,
KIT FRAPPE CARNAVAL,,,,,,,,
PASTEL CARNE PICANTE,,,,,,,,
XAROPE UVA,,,,,,,,
TROUXINHA DE CARNE SECA MP,,,,,,,,
BOMBOM OURO BRANCO MP,,,,,,,,
Filme de PVC,,,,,,,,
INSETICIDA,,,,,,,,
PALITO WAFER OURO BRANCO,,,,,,,,
COOKIE BANANA MP,Go Coffee Congelados ,6.0,Não,Un,9.0,28.0,0.0,24.0
